2016-07-07 09:52:27,579 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 30.0, aFirmB: 40.0, aFirmC: 46.0, aFirmD: 50.0, aMarket: 41.5.
2016-07-07 09:52:27,579 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 59.777777777777786, oFirmB: 58.66666666666667, oFirmC: 58.0, oFirmD: 57.55555555555556.
2016-07-07 09:52:27,580 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 22.416666666666668, profitFirmB: 29.33333333333333, profitFirmC: 33.349999999999994, profitFirmD: 35.972222222222214
2016-07-07 09:52:27,581 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.029486111111111112, balanceFirmB: 0.03957638888888889, balanceFirmC: 0.04199675925925926, balanceFirmD: 0.04410185185185185
2016-07-07 09:52:27,586 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 3500 and to countId: 7.
2016-07-07 09:52:27,610 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 7
2016-07-07 09:52:27,958 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 8 from client agent_mo1: Set aFirmC = 46.0
2016-07-07 09:52:27,966 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 4 with countId 8 of cohort 14.
2016-07-07 09:52:27,988 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 8 from client agent_ns2: Set aFirmA = 90.0
2016-07-07 09:52:28,000 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 4 with countId 8 of cohort 14.
2016-07-07 09:52:28,040 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 8 from client agent_mo2: Set aFirmB = 39.0
2016-07-07 09:52:28,050 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 4 with countId 8 of cohort 14.
2016-07-07 09:52:28,069 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 8 from client agent_ns1: Set aFirmD = 50.0
2016-07-07 09:52:28,085 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 4 of 4 with countId 8 of cohort 14.
2016-07-07 09:52:28,086 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 90.0, aFirmB: 39.0, aFirmC: 46.0, aFirmD: 50.0, aMarket: 56.25.
2016-07-07 09:52:28,087 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 40.0, oFirmB: 45.66666666666667, oFirmC: 44.8888888888889, oFirmD: 44.44444444444445.
2016-07-07 09:52:28,087 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 45.0, profitFirmB: 22.262500000000003, profitFirmC: 25.811111111111114, profitFirmD: 27.77777777777778
2016-07-07 09:52:28,088 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.03698611111111111, balanceFirmB: 0.04328680555555556, balanceFirmC: 0.04629861111111111, balanceFirmD: 0.04873148148148148
2016-07-07 09:52:28,097 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 4000 and to countId: 8.
2016-07-07 09:52:28,308 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 8
2016-07-07 09:52:28,462 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 9 from client agent_mo1: Set aFirmC = 48.0
2016-07-07 09:52:28,471 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 4 with countId 9 of cohort 14.
2016-07-07 09:52:28,490 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 9 from client agent_ns2: Set aFirmA = 90.0
2016-07-07 09:52:28,498 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 4 with countId 9 of cohort 14.
2016-07-07 09:52:28,545 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 9 from client agent_mo2: Set aFirmB = 41.0
2016-07-07 09:52:28,557 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 4 with countId 9 of cohort 14.
2016-07-07 09:52:28,573 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 9 from client agent_ns1: Set aFirmD = 60.0
2016-07-07 09:52:28,586 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 4 of 4 with countId 9 of cohort 14.
